ph,temperature,rainfall,crops
6,20.61,38.73,Kale - Arugula
6.4,17.34,36.64,Kale - Arugula
6.4,17.99,38.99,Kale - Arugula
6.5,16.53,32.24,Kale - Arugula
6.1,17.34,37.37,Kale - Arugula
5.7,22.37,37.02,Kale - Arugula
5.6,16.28,35.87,Kale - Arugula
5.6,21.99,31.52,Kale - Arugula
6,17.6,34.79,Kale - Arugula
6.5,18.07,39.05,Kale - Arugula
6.1,15.28,37.44,Kale - Arugula
5.5,19.35,31.73,Kale - Arugula
5.9,20.12,37.33,Kale - Arugula
6,22.63,34.98,Kale - Arugula
6,19.4,39.71,Kale - Arugula
6.4,23.39,31.22,Kale - Arugula
5.5,18.38,37.34,Kale - Arugula
5.9,16.4,39.53,Kale - Arugula
6,18,34.07,Kale - Arugula
5.9,23.9,34.95,Kale - Arugula
6,21.4,33.9,Kale - Arugula
6,15.07,32.12,Kale - Arugula
5.5,22.53,35.78,Kale - Arugula
5.8,20.63,31.61,Kale - Arugula
5.8,21.02,39.52,Kale - Arugula
5.9,22.84,33.96,Kale - Arugula
6.2,20.09,33.18,Kale - Arugula
5.6,19.85,38.94,Kale - Arugula
5.6,18.45,30.97,Kale - Arugula
5.9,24.58,35.86,Kale - Arugula
5.8,15.69,38.34,Kale - Arugula
5.7,15.7,37.59,Kale - Arugula
6.3,17.5,30.82,Kale - Arugula
6.4,22.1,33.52,Kale - Arugula
6,20.6,37.78,Kale - Arugula
5.8,20.94,33.46,Kale - Arugula
5.6,22.84,38.36,Kale - Arugula
5.6,24.34,30.62,Kale - Arugula
6.2,20.89,30.22,Kale - Arugula
6.5,20.29,37.69,Kale - Arugula
5.7,17.47,33.03,Kale - Arugula
6.1,16.07,33.96,Kale - Arugula
6.1,15.67,34.67,Kale - Arugula
6.4,16.33,36.5,Kale - Arugula
5.9,22.2,32.76,Kale - Arugula
6.2,18.05,37.2,Kale - Arugula
6.3,25,37.93,Kale - Arugula
6.3,24.88,33.12,Kale - Arugula
6.2,15.07,37.14,Kale - Arugula
6.2,23.23,39.36,Kale - Arugula
6.1,24.32,31.62,Kale - Arugula
5.7,16.07,35.93,Kale - Arugula
6,21.46,30.47,Kale - Arugula
6.5,17.98,35.72,Kale - Arugula
5.9,16.22,33.53,Kale - Arugula
5.8,22.67,38.18,Kale - Arugula
5.6,21.57,33.34,Kale - Arugula
5.8,18.64,34.45,Kale - Arugula
6.3,18.59,30.77,Kale - Arugula
6.4,24.18,39.86,Kale - Arugula
5.7,18.81,36.42,Kale - Arugula
6.3,21.48,34.86,Kale - Arugula
5.9,18.13,33.85,Kale - Arugula
6.4,17.31,39.35,Kale - Arugula
5.7,22.38,30.15,Kale - Arugula
