ph,temperature,rainfall,crops
6.9,31.96,468.38,Maize - Cowpeas
6.4,32.63,445.76,Maize - Cowpeas
6.9,34.66,459.88,Maize - Cowpeas
6,31.56,596.18,Maize - Cowpeas
6.6,26.2,553.88,Maize - Cowpeas
6,25.81,461.17,Maize - Cowpeas
5.9,32.33,553.45,Maize - Cowpeas
6.8,29.71,418.65,Maize - Cowpeas
5.6,31.74,502.22,Maize - Cowpeas
6.3,29.3,515.05,Maize - Cowpeas
5.6,26.73,572.62,Maize - Cowpeas
6.2,32.84,410.35,Maize - Cowpeas
6.7,28.51,585.18,Maize - Cowpeas
6,30.79,523.63,Maize - Cowpeas
6,27.18,483.43,Maize - Cowpeas
6,30.5,411.16,Maize - Cowpeas
6.9,25.95,554.37,Maize - Cowpeas
6.4,31.43,514.13,Maize - Cowpeas
6.4,28,532.87,Maize - Cowpeas
6.8,28.08,410.88,Maize - Cowpeas
5.9,33.65,482.18,Maize - Cowpeas
6.2,30.17,570.06,Maize - Cowpeas
6.3,27.67,511.46,Maize - Cowpeas
6.3,33.07,437.68,Maize - Cowpeas
6.3,28.1,409.77,Maize - Cowpeas
5.9,25.38,552.51,Maize - Cowpeas
6.2,25.04,449.57,Maize - Cowpeas
6.2,29.63,491.47,Maize - Cowpeas
5.5,25.49,528.02,Maize - Cowpeas
5.7,32.3,456.34,Maize - Cowpeas
6.6,31.54,435.05,Maize - Cowpeas
5.8,31.92,551.07,Maize - Cowpeas
6.4,30.46,541.11,Maize - Cowpeas
6.5,28.84,494.51,Maize - Cowpeas
5.8,31.21,581.64,Maize - Cowpeas
6,27.65,593.71,Maize - Cowpeas
6.4,33.37,545.57,Maize - Cowpeas
6.5,34.99,447.56,Maize - Cowpeas
6.8,34.44,474.2,Maize - Cowpeas
5.5,28.59,455.97,Maize - Cowpeas
5.7,29.75,533.88,Maize - Cowpeas
6.3,27.84,415.56,Maize - Cowpeas
6.5,32.6,401.89,Maize - Cowpeas
6.8,29.14,480.63,Maize - Cowpeas
7,26.57,528.24,Maize - Cowpeas
6.7,28.21,464.28,Maize - Cowpeas
5.5,30.27,547.3,Maize - Cowpeas
6.3,27.2,500.93,Maize - Cowpeas
6.1,27.12,416.89,Maize - Cowpeas
5.8,28.63,462.28,Maize - Cowpeas
7,27.48,442.97,Maize - Cowpeas
6.4,25.02,450.56,Maize - Cowpeas
6.3,33.21,463.94,Maize - Cowpeas
5.9,28.22,461.42,Maize - Cowpeas
6.3,33.64,531.85,Maize - Cowpeas
6.5,25.07,491.55,Maize - Cowpeas
6.9,34.22,516.92,Maize - Cowpeas
6.3,31.76,467.24,Maize - Cowpeas
6.6,34.99,473.38,Maize - Cowpeas
6.5,25.71,553.23,Maize - Cowpeas
5.8,31.38,547.98,Maize - Cowpeas
6.8,28.96,588.5,Maize - Cowpeas
6.3,26.25,523.82,Maize - Cowpeas
5.6,27.64,445.62,Maize - Cowpeas
5.8,26.05,585.41,Maize - Cowpeas
6,34.09,581.45,Maize - Cowpeas
6.7,31.37,480.73,Maize - Cowpeas
6.4,27.33,576.43,Maize - Cowpeas
6.4,32.37,548.46,Maize - Cowpeas
6.7,29.65,426.55,Maize - Cowpeas
6.8,26.04,429.33,Maize - Cowpeas
6.5,27.26,470.82,Maize - Cowpeas
5.7,27.56,465.34,Maize - Cowpeas
6.9,25.5,400.12,Maize - Cowpeas
6.9,32.29,550.11,Maize - Cowpeas
6,32.07,440.86,Maize - Cowpeas
6.4,27.54,407.43,Maize - Cowpeas
6.5,30.36,507.61,Maize - Cowpeas
5.9,33.43,421.71,Maize - Cowpeas
6.3,28.62,572.84,Maize - Cowpeas
6.2,27.06,418.52,Maize - Cowpeas
6.1,26.88,503.7,Maize - Cowpeas
6.4,27.97,444.69,Maize - Cowpeas
6.4,25.32,445.49,Maize - Cowpeas
6.2,26.62,553.06,Maize - Cowpeas
6.1,26.15,517.86,Maize - Cowpeas
5.8,27.05,583.62,Maize - Cowpeas
6.7,30.06,411.44,Maize - Cowpeas
6.7,29.34,487.04,Maize - Cowpeas
7,28.05,431.96,Maize - Cowpeas
6.5,33.62,528.69,Maize - Cowpeas
5.9,34.63,468.17,Maize - Cowpeas
6.4,30.26,589.42,Maize - Cowpeas
5.5,30.97,539.07,Maize - Cowpeas
6.5,33.16,461.84,Maize - Cowpeas
6.4,32.63,477.79,Maize - Cowpeas
6,28.83,479.22,Maize - Cowpeas
6.4,31.26,422.84,Maize - Cowpeas
6.5,26.28,500.66,Maize - Cowpeas
5.6,28.85,444.41,Maize - Cowpeas
7.1,32.04,392.25,Sorghum - Green gram
6.5,31.71,378.91,Sorghum - Green gram
7.2,32.43,288.39,Sorghum - Green gram
6.7,33.88,383.35,Sorghum - Green gram
7.4,34.38,275.03,Sorghum - Green gram
6.8,34.02,441.03,Sorghum - Green gram
6.9,31.24,331.14,Sorghum - Green gram
6,32.62,274.02,Sorghum - Green gram
6.8,31.54,387.33,Sorghum - Green gram
7.4,33.47,422.12,Sorghum - Green gram
6.1,34.64,392.67,Sorghum - Green gram
6.5,30.87,274.88,Sorghum - Green gram
6.3,30.47,322.95,Sorghum - Green gram
6.9,30.7,331.15,Sorghum - Green gram
6.2,33.35,297.04,Sorghum - Green gram
6.3,32.23,349.98,Sorghum - Green gram
6.5,33.79,282.88,Sorghum - Green gram
6.4,32.5,292.27,Sorghum - Green gram
6.5,32.32,335.19,Sorghum - Green gram
6.1,32.26,360.29,Sorghum - Green gram
7.2,30.42,420.58,Sorghum - Green gram
6.7,32.37,317.62,Sorghum - Green gram
6.4,33.64,318.73,Sorghum - Green gram
7.4,34.04,433.62,Sorghum - Green gram
6.9,32.17,424.13,Sorghum - Green gram
6.1,32.41,350.51,Sorghum - Green gram
6.1,32.57,278.62,Sorghum - Green gram
7.4,30.06,314.57,Sorghum - Green gram
7.2,33.52,326.06,Sorghum - Green gram
6.1,32.93,292.05,Sorghum - Green gram
6.8,33.39,307.91,Sorghum - Green gram
6,30.56,336.07,Sorghum - Green gram
6.3,33.77,392.39,Sorghum - Green gram
6.2,33.94,267.27,Sorghum - Green gram
7,32.06,337.71,Sorghum - Green gram
7,32.24,436.82,Sorghum - Green gram
6.7,32.03,303.41,Sorghum - Green gram
6.9,32.19,306.27,Sorghum - Green gram
6.3,32.8,290.12,Sorghum - Green gram
6.1,31.87,395.7,Sorghum - Green gram
7.1,34.24,308.61,Sorghum - Green gram
6,34.7,433.52,Sorghum - Green gram
6.2,30.55,435.45,Sorghum - Green gram
7,34.24,449.66,Sorghum - Green gram
6.9,30.5,345.53,Sorghum - Green gram
6.5,31.74,392.4,Sorghum - Green gram
7.4,30.84,396.44,Sorghum - Green gram
6.1,30.08,278.17,Sorghum - Green gram
6.8,30.13,330.19,Sorghum - Green gram
7.4,33.15,378.83,Sorghum - Green gram
6.1,30.84,308.46,Sorghum - Green gram
7.1,30.84,299.37,Sorghum - Green gram
7.4,30.77,297.77,Sorghum - Green gram
6.7,31.48,303.9,Sorghum - Green gram
7.4,30.06,426.05,Sorghum - Green gram
6.2,32.78,347.21,Sorghum - Green gram
7.2,31.3,366.39,Sorghum - Green gram
6.6,30.65,259.39,Sorghum - Green gram
7.1,33.13,436.52,Sorghum - Green gram
7.3,33.23,416.77,Sorghum - Green gram
7.1,33.83,304.58,Sorghum - Green gram
7.1,30.52,281.33,Sorghum - Green gram
6.1,34.36,252.86,Sorghum - Green gram
